40 22 0 3
41 42 2 20
42 58 6 16
43 78 9 20
44 111 11 33
45 186 12 75
46 283 14 97
47 381 17 98
48 500 21 119
49 691 26 191
50 954 28 263
51 1265 38 311
52 1616 40 351
53 2154 48 538
54 2746 58 592
55 3625 65 879
56 4612 85 987
57 6331 107 1719
58 9040 150 2709
59 13683 201 4643
60 19306 249 5623
61 25959 319 6653
62 33749 418 7790
63 43887 554 10138
64 54913 790 11026
65 66293 945 11380
66 83925 1284 17632
67 104066 1699 20141
68 124019 2156 19953
69 142171 2488 18152
70 162847 3041 20676
71 188216 3889 25369
72 215340 4815 27124
73 244017 5946 28677
